_id,GO,EVIDENCE,ONTOLOGY
68,GO:0009785,IEA,BP
68,GO:0005524,IEA,MF
68,GO:0009414,IEA,BP
68,GO:0003913,IEA,MF
68,GO:0009640,IEA,BP
68,GO:0010343,IEA,BP
69,GO:0005384,IEA,MF
69,GO:0005802,IEA,CC
69,GO:0015086,IEA,MF
69,GO:0006879,IEA,BP
69,GO:0006828,IEA,BP
69,GO:0005381,IEA,MF
69,GO:0005385,IEA,MF
69,GO:0009617,IEA,BP
69,GO:0071369,IEA,BP
69,GO:0071281,IEA,BP
69,GO:0016021,IEA,CC
69,GO:0006826,IEA,BP
69,GO:0015675,IEA,BP
69,GO:0005886,IEA,CC
69,GO:0015691,IEA,BP
69,GO:0071732,IEA,BP
69,GO:0071577,IEA,BP
69,GO:0015088,IEA,MF
70,GO:0015086,IEA,MF
70,GO:0006826,IEA,BP
70,GO:0009617,IEA,BP
70,GO:0006879,IEA,BP
70,GO:0015675,IEA,BP
70,GO:0005384,IEA,MF
70,GO:0015691,IEA,BP
70,GO:0071732,IEA,BP
70,GO:0071369,IEA,BP
70,GO:0005802,IEA,CC
70,GO:0005886,IEA,CC
70,GO:0071577,IEA,BP
70,GO:0071281,IEA,BP
70,GO:0015088,IEA,MF
70,GO:0005385,IEA,MF
70,GO:0016021,IEA,CC
70,GO:0005381,IEA,MF
70,GO:0006828,IEA,BP
71,GO:0045490,IEA,BP
71,GO:0010047,IEA,BP
71,GO:0009901,IEA,BP
71,GO:0004650,IEA,MF
71,GO:0048235,IEA,BP
71,GO:0005515,IEA,MF
71,GO:0009505,IEA,CC
71,GO:0010227,IEA,BP
72,GO:0009410,IEA,BP
72,GO:0045893,IEA,BP
72,GO:0003677,IEA,MF
72,GO:0042802,IEA,MF
72,GO:0005634,IEA,CC
72,GO:0045892,IEA,BP
72,GO:0009862,IEA,BP
72,GO:0009909,IEA,BP
72,GO:0003700,IEA,MF
72,GO:0005737,IEA,CC
73,GO:0008270,IEA,MF
73,GO:0009809,IEA,BP
73,GO:0000166,IEA,MF
73,GO:0009626,IEA,BP
73,GO:0018456,IEA,MF
73,GO:0048046,IEA,CC
73,GO:0045551,IEA,MF
73,GO:0009617,IEA,BP
73,GO:0046029,IEA,MF
73,GO:0055114,IEA,BP
74,GO:0016174,IEA,MF
74,GO:0010053,IEA,BP
74,GO:0009845,IEA,BP
74,GO:0009408,IEA,BP
74,GO:0043069,IEA,BP
74,GO:0009611,IEA,BP
74,GO:0072593,IEA,BP
74,GO:0005773,IEA,CC
74,GO:0005509,IEA,MF
74,GO:0050660,IEA,MF
74,GO:0009055,IEA,MF
74,GO:0033198,IEA,BP
74,GO:0022626,IEA,CC
74,GO:0050832,IEA,BP
74,GO:0009060,IEA,BP
74,GO:0005887,IEA,CC
74,GO:0005506,IEA,MF
74,GO:0004601,IEA,MF
75,GO:0008356,IEA,BP
75,GO:0009739,IEA,BP
75,GO:0003677,IEA,MF
75,GO:0050832,IEA,BP
75,GO:0046686,IEA,BP
75,GO:0045088,IEA,BP
75,GO:0009733,IEA,BP
75,GO:0009651,IEA,BP
75,GO:0042803,IEA,MF
75,GO:0000793,IEA,CC
75,GO:0010338,IEA,BP
75,GO:0009615,IEA,BP
75,GO:0045892,IEA,BP
75,GO:0042742,IEA,BP
75,GO:0005730,IEA,CC
75,GO:0009751,IEA,BP
75,GO:0009944,IEA,BP
75,GO:0009753,IEA,BP
76,GO:0005829,IEA,CC
76,GO:0006559,IEA,BP
76,GO:0055114,IEA,BP
76,GO:0006572,IEA,BP
76,GO:0004411,IEA,MF
77,GO:0008565,IEA,MF
77,GO:0042719,IEA,CC
77,GO:0045039,IEA,BP
77,GO:0005829,IEA,CC
77,GO:0051082,IEA,MF
77,GO:0042721,IEA,CC
77,GO:0005634,IEA,CC
78,GO:0005634,IEA,CC
78,GO:0003712,IEA,MF
78,GO:0009738,IEA,BP
